file,label,chunkId,words,probability,ai_written,tells,staging,rhythm,inflation,formatting,chat_residue,specifics
govweb-grca-learn-nature-200710mtlionkit-htm.txt,human,c0,241,0.013,0.57,0.34,0.13,0.1,0.12,0.07,0.05,0.83
govweb-grca-learn-nature-200710mtlionkit-htm.txt,human,c1,67,0.293,0.78,0.32,0.06,0.1,0.04,0.07,0.03,0.02
gutenberg-essays-1.txt,human,c0,82,0.006,0.09,0.62,0.24,0.2,0.08,0.09,0.02,0.03
gutenberg-essays-1.txt,human,c1,256,0.026,0.12,1.33,0.18,0.56,0.14,0.07,0.02,0.03
gutenberg-essays-2.txt,human,c0,206,0.003,0.09,0.4,0.16,0.15,0.08,0.08,0.02,0.02
gutenberg-essays-2.txt,human,c1,152,0.005,0.08,0.48,0.31,0.2,0.1,0.08,0.02,0.03
gutenberg-essays-first-series-1.txt,human,c0,84,0.086,0.3,0.87,0.56,0.22,0.24,0.12,0.02,0.15
gutenberg-essays-first-series-1.txt,human,c1,264,0.08,0.11,1.63,0.41,0.35,0.32,0.09,0.02,0.05
gutenberg-essays-first-series-1.txt,human,c2,43,0.007,0.08,0.37,0.5,0.1,0.27,0.1,0.02,0.03
gutenberg-essays-first-series-2.txt,human,c0,220,0.023,0.09,1.2,0.32,0.37,0.22,0.09,0.02,0.04
gutenberg-essays-first-series-2.txt,human,c1,85,0.008,0.11,0.64,0.27,0.12,0.12,0.09,0.02,0.03
gutenberg-essays-second-series-1.txt,human,c0,306,0.05,0.14,1.35,0.34,0.25,0.32,0.11,0.02,0.03
gutenberg-essays-second-series-2.txt,human,c0,151,0.013,0.23,0.51,0.28,0.1,0.48,0.08,0.02,0.09
gutenberg-essays-second-series-2.txt,human,c1,181,0.005,0.16,0.56,0.28,0.13,0.15,0.08,0.02,0.26
gutenberg-walking-1.txt,human,c0,185,0.016,0.09,1.24,0.58,0.23,0.17,0.08,0.02,0.52
gutenberg-walking-2.txt,human,c0,285,0.013,0.09,1.63,0.46,0.34,0.43,0.08,0.02,0.78
stackexchange-academia-2221.txt,human,c0,244,0.142,0.49,0.82,0.46,0.13,0.09,0.1,0.03,0.36
stackexchange-academia-2221.txt,human,c1,64,0.032,0.29,1.45,0.34,0.18,0.08,0.12,0.05,0.76
stackexchange-academia-77443.txt,human,c0,168,0.434,0.78,0.43,0.2,0.09,0.06,0.08,0.04,0.03
stackexchange-academia-92903.txt,human,c0,274,0.001,0.12,0.95,0.2,0.14,0.12,0.08,0.05,0.94
stackexchange-academia-92903.txt,human,c1,52,0.002,0.32,0.08,0.09,0.07,0.05,0.1,0.03,0.57
stackexchange-cooking-22409.txt,human,c0,273,0.065,0.4,1.08,0.74,0.11,0.21,0.13,0.12,0.96
stackexchange-cooking-81043.txt,human,c0,248,0.272,0.72,0.41,0.13,0.1,0.07,0.11,0.03,0.03
stackexchange-cooking-84325.txt,human,c0,223,0.407,0.62,0.75,0.37,0.12,0.08,0.09,0.05,0.04
stackexchange-cooking-84325.txt,human,c1,160,0.236,0.47,1.03,0.35,0.21,0.08,0.09,0.2,0.1
stackexchange-diy-20876.txt,human,c0,213,0.242,0.71,0.34,0.17,0.67,0.08,0.07,0.05,0.05
stackexchange-diy-21461.txt,human,c0,260,0.453,0.76,0.57,0.17,0.11,0.07,0.06,0.5,0.02
stackexchange-diy-21461.txt,human,c1,49,0.046,0.57,0.1,0.07,0.08,0.06,0.13,0.03,0.05
stackexchange-diy-71591.txt,human,c0,190,0.051,0.37,0.77,0.3,0.11,0.11,0.08,0.05,0.21
stackexchange-english-329192.txt,human,c0,264,0.266,0.69,0.35,0.27,0.14,0.09,0.14,0.14,0.06
stackexchange-english-329192.txt,human,c1,120,0.034,0.5,0.12,0.13,0.1,0.07,0.11,0.04,0.04
stackexchange-english-342281.txt,human,c0,290,0.151,0.66,0.25,0.17,0.1,0.08,0.14,0.04,0.05
stackexchange-english-342281.txt,human,c1,70,0.065,0.37,0.93,0.32,0.14,0.11,0.15,0.03,0.26
stackexchange-english-395385.txt,human,c0,284,0.42,0.62,0.91,0.5,0.17,0.15,0.15,0.19,0.3
stackexchange-english-395385.txt,human,c1,98,0.019,0.34,0.65,0.56,0.14,0.15,0.15,0.07,0.71
stackexchange-parenting-19025.txt,human,c0,243,0.065,0.46,0.62,0.29,0.14,0.09,0.11,0.1,0.25
stackexchange-parenting-19025.txt,human,c1,86,0.557,0.49,1.38,0.5,0.4,0.1,0.13,0.06,0.07
stackexchange-parenting-32424.txt,human,c0,320,0.176,0.59,0.56,0.31,0.1,0.08,0.09,0.05,0.18
stackexchange-travel-149371.txt,human,c0,293,0.286,0.58,1.01,0.28,0.23,0.15,0.1,0.08,0.24
stackexchange-travel-149371.txt,human,c1,72,0.173,0.65,0.35,0.25,0.11,0.08,0.14,0.15,0.13
stackexchange-travel-20208.txt,human,c0,275,0.713,0.69,1.09,0.43,0.13,0.25,0.12,0.21,0.1
stackexchange-travel-20208.txt,human,c1,45,0.158,0.74,0.09,0.07,0.07,0.08,0.09,0.03,0.03
stackexchange-travel-38180.txt,human,c0,229,0.119,0.58,0.38,0.23,0.13,0.06,0.08,0.05,0.09
stackexchange-workplace-124717.txt,human,c0,198,0.55,0.54,1.42,0.71,0.16,0.57,0.09,0.13,0.51
stackexchange-workplace-145712.txt,human,c0,212,0.24,0.45,0.77,0.6,0.14,0.09,0.09,0.06,0.1
stackexchange-workplace-145712.txt,human,c1,135,0.381,0.53,0.99,0.42,0.15,0.08,0.11,0.04,0.06
stackexchange-workplace-93717.txt,human,c0,254,0.107,0.32,0.91,0.71,0.13,0.13,0.07,0.13,0.32
stackexchange-workplace-93717.txt,human,c1,111,0.518,0.67,0.83,0.34,0.25,0.09,0.1,0.13,0.05
wikipedia-bologna.txt,human,c0,278,0.152,0.66,0.44,0.06,0.09,0.17,0.07,0.02,0.08
wikipedia-cricket.txt,human,c0,260,0.313,0.82,0.24,0.05,0.11,0.05,0.08,0.02,0.03
wikipedia-fall-of-the-berlin-wall.txt,human,c0,290,0.493,0.7,1.07,0.06,0.08,0.31,0.09,0.02,0.06
wikipedia-fall-of-the-berlin-wall.txt,human,c1,109,0.051,0.63,0.19,0.08,0.08,0.08,0.1,0.02,0.28
wikipedia-ganges.txt,human,c0,244,0.384,0.67,0.86,0.14,0.1,0.17,0.07,0.02,0.06
wikipedia-ganges.txt,human,c1,125,0.507,0.71,0.95,0.13,0.11,0.39,0.08,0.03,0.05
wikipedia-glastonbury-festival.txt,human,c0,291,0.167,0.68,0.43,0.07,0.11,0.14,0.08,0.02,0.1
wikipedia-glastonbury-festival.txt,human,c1,72,0.078,0.63,0.2,0.05,0.1,0.08,0.09,0.02,0.07
wikipedia-golden-gate-bridge.txt,human,c0,210,0.434,0.76,0.72,0.07,0.21,0.21,0.08,0.02,0.06
wikipedia-golden-gate-bridge.txt,human,c1,101,0.106,0.67,0.22,0.07,0.08,0.11,0.08,0.02,0.1
wikipedia-kyoto.txt,human,c0,231,0.407,0.84,0.36,0.05,0.09,0.15,0.08,0.02,0.03
