study,date_utc,arm,initialization,training_data,objective,updates,training_minutes,outcome,report
base-v0.2,2026-09-20,v0.2,Qwen3.5-2B with new LoRA adapters and heads,"20,000 bundles: BoolQ, PAWS, CLINC150, BANKING77, UCI Wine Quality and 1,000 synthetic rubrics",Hard-label BCE and grouped CE plus consistency (weight 0.1),5000,55.6,"Held-out accuracy 65.5% to 87.3% on 1,500 judgments",research-log/reports/TRAINING_READINESS.md
contrast-pilot,2026-09-20,control,Continue v0.2,Original training data only,Hard-label BCE and grouped CE,300,3.2,"Fresh test 71.4%; broad tasks 87.7%",research-log/reports/CONTRAST_PILOT.md
contrast-pilot,2026-09-20,contrast,Continue v0.2,300 contrast scenarios plus original-data replay,Hard-label BCE and grouped CE,300,13.4,"Fresh test 95.3% (Jev 99.4%); broad tasks 83.7%",research-log/reports/CONTRAST_PILOT.md
revised-initialization,2026-09-20,fresh,Qwen3.5-2B with new LoRA adapters and heads,"660 revised contrast requests plus 4,800 original questions",Hard-label BCE and grouped CE,1000,21.9,"Revised test 98.7% (Jev 95.2%); broad tasks 83.1%",research-log/reports/REVISED_INITIALIZATION.md
revised-initialization,2026-09-21,continued,Continue v0.2,"660 revised contrast requests plus 4,800 original questions",Hard-label BCE and grouped CE,1000 (selected 250),21.1,"Revised test 98.4%; broad tasks 88.4%; original semantic suite 83.5% (Jev 99.5%)",research-log/reports/REVISED_INITIALIZATION.md
paired-language,2026-09-21,template,Continue v0.2,800 templated contrast requests plus replay,Hard-label BCE and grouped CE,1000 (selected 0),25.1,"Paired-language test 84.4% at 1,000 updates (Jev 95.5%)",research-log/reports/paired-language-v1/RESULTS.md
paired-language,2026-09-21,natural,Continue v0.2,"The same facts written in natural language by GPT-5.6 Terra and Sol, plus replay",Hard-label BCE and grouped CE,1000 (selected 500),27.3,"Paired-language test 87.0% at update 500 after 12.8 minutes (Jev 95.5%); 88.1% on 35 untouched families (Jev 96.9%)",research-log/reports/paired-language-v1/RESULTS.md
contrast-scaling,2026-09-21,primary (paused),Continue v0.2,"1,692 of 5,000 planned contrast families plus replay",Hard-label BCE and grouped CE,1692,357.5,"Validation 78.9% at 200 families and 78.6% at 1,692; log loss 0.79 to 1.55",research-log/reports/contrast-scaling-v1/mid-gpu-validation/RESULTS.md
contrast-factorial,2026-09-21,A: narrow rubrics / 200 patterns,Continue v0.2,400 contrast families plus replay,Hard-label BCE and grouped CE,400,64.7,"Contrast pairs 44.4%; accuracy 70.6%",research-log/reports/contrast-factorial-v1/RESULTS.md
contrast-factorial,2026-09-21,B: broad rubrics / 200 patterns,Continue v0.2,400 contrast families plus replay,Hard-label BCE and grouped CE,400,64.1,"Contrast pairs 48.9%; accuracy 73.6%",research-log/reports/contrast-factorial-v1/RESULTS.md
contrast-factorial,2026-09-22,C: narrow rubrics / 400 patterns,Continue v0.2,400 contrast families plus replay,Hard-label BCE and grouped CE,400,43.4,"Contrast pairs 44.9%; accuracy 72.8%",research-log/reports/contrast-factorial-v1/RESULTS.md
contrast-factorial,2026-09-22,D: broad rubrics / 400 patterns,Continue v0.2,400 contrast families plus replay,Hard-label BCE and grouped CE,400,49.7,"Contrast pairs 46.0%; accuracy 73.6%",research-log/reports/contrast-factorial-v1/RESULTS.md
calibrated-screen,2026-09-22,H0: cross-entropy,Continue v0.2,Factorial B corpus plus replay,Hard-label CE,400,50.6,"Contrast pairs 48.9%; accuracy 73.6%",research-log/reports/calibrated-screen-v1/RESULTS.md
calibrated-screen,2026-09-22,H1: cross-entropy plus Brier,Continue v0.2,Factorial B corpus plus replay,Hard-label CE plus full-vector Brier,400,50.6,"Contrast pairs 49.9%; accuracy 73.6%",research-log/reports/calibrated-screen-v1/RESULTS.md
calibrated-screen,2026-09-22,Q0: Qwen3.5-4B targets,Continue v0.2,Factorial B corpus plus replay,Half hard-label CE and half CE against Qwen3.5-4B distributions,400,50.6,"Contrast pairs 39.9%; accuracy 70.3%",research-log/reports/calibrated-screen-v1/RESULTS.md
calibrated-screen,2026-09-22,Q1: Qwen3.5-4B targets plus Brier,Continue v0.2,Factorial B corpus plus replay,Q0 objective plus full-vector Brier,400,50.6,"Contrast pairs 43.4%; accuracy 69.5%",research-log/reports/calibrated-screen-v1/RESULTS.md
calibrated-screen,2026-09-22,J0: Jev targets,Continue v0.2,Factorial B corpus plus replay,Half hard-label CE and half CE against Jev distributions,400,50.6,"Contrast pairs 44.4%; accuracy 71.8%",research-log/reports/calibrated-screen-v1/RESULTS.md
calibrated-screen,2026-09-22,J1: Jev targets plus Brier,Continue v0.2,Factorial B corpus plus replay,J0 objective plus full-vector Brier,400,50.6,"Contrast pairs 45.7%; accuracy 74.4%; best raw log loss",research-log/reports/calibrated-screen-v1/RESULTS.md
architecture-diagnostics,2026-09-22,D3: tiny fit,Continue calibrated-screen H0,200-judgment fitting set only,Hard-label CE,80,14.0,"Fitting set 183 to 199 of 200; development unchanged at 151 of 200",research-log/reports/architecture-diagnostics-v1/RESULTS.md
intermediate-supervision,2026-09-23,A: control,Continue calibrated-screen H0,Prepared contrast corpus plus replay,Hard-label CE with detached auxiliary readouts,200,42.4,Running study; outcomes not yet opened,research-log/design/intermediate-supervision-pilot-proposal.md
intermediate-supervision,2026-09-23,B: intermediate facts,Continue calibrated-screen H0,Prepared contrast corpus plus replay,Hard-label CE plus supervised intermediate facts,200,,Training when this snapshot was taken,research-log/design/intermediate-supervision-pilot-proposal.md
