file,label,words,chunkCount,judgedChunkCount,probability,verdict,confidence,ai_written,tells,staging,rhythm,inflation,formatting,chat_residue,specifics
govweb-grca-learn-nature-200710mtlionkit-htm.txt,human,308,2,2,0.075,likely_human,high,0.606,0.312,0.107,0.1,0.103,0.068,0.046,0.654
gutenberg-essays-1.txt,human,338,2,2,0.022,likely_human,high,0.113,1.167,0.2,0.453,0.12,0.065,0.02,0.03
gutenberg-essays-2.txt,human,358,2,2,0.004,likely_human,high,0.09,0.456,0.228,0.168,0.088,0.076,0.02,0.024
gutenberg-essays-first-series-1.txt,human,391,3,3,0.066,likely_human,medium,0.142,1.237,0.457,0.312,0.286,0.096,0.02,0.058
gutenberg-essays-first-series-2.txt,human,305,2,2,0.017,likely_human,medium,0.098,0.999,0.312,0.303,0.195,0.076,0.02,0.037
gutenberg-essays-second-series-1.txt,human,306,1,1,0.043,likely_human,high,0.12,1.35,0.34,0.24,0.3,0.11,0.02,0.03
gutenberg-essays-second-series-2.txt,human,332,2,2,0.009,likely_human,high,0.203,0.502,0.265,0.115,0.296,0.085,0.02,0.187
gutenberg-walking-1.txt,human,185,1,1,0.018,likely_human,high,0.09,1.25,0.63,0.23,0.17,0.08,0.02,0.54
gutenberg-walking-2.txt,human,285,1,1,0.014,likely_human,high,0.09,1.65,0.46,0.31,0.42,0.08,0.02,0.79
stackexchange-academia-2221.txt,human,308,2,2,0.135,likely_human,medium,0.456,0.963,0.465,0.14,0.09,0.094,0.038,0.459
stackexchange-academia-77443.txt,human,168,1,1,0.403,unclear,low,0.78,0.37,0.2,0.09,0.06,0.09,0.04,0.03
stackexchange-academia-92903.txt,human,326,2,2,0.001,likely_human,high,0.143,0.821,0.182,0.127,0.126,0.076,0.047,0.881
stackexchange-cooking-22409.txt,human,273,1,1,0.045,likely_human,high,0.36,1.05,0.74,0.11,0.2,0.13,0.11,0.96
stackexchange-cooking-81043.txt,human,248,1,1,0.29,likely_human,medium,0.72,0.45,0.14,0.1,0.07,0.12,0.03,0.04
stackexchange-cooking-84325.txt,human,383,2,2,0.319,unclear,low,0.553,0.855,0.346,0.162,0.08,0.096,0.121,0.055
stackexchange-diy-20876.txt,human,213,1,1,0.266,likely_human,medium,0.72,0.39,0.16,0.67,0.09,0.07,0.04,0.06
stackexchange-diy-21461.txt,human,309,2,2,0.407,unclear,low,0.728,0.519,0.164,0.115,0.068,0.078,0.375,0.025
