file,label,words,chunkCount,judgedChunkCount,probability,verdict,confidence,ai_written,tells,staging,rhythm,inflation,formatting,chat_residue,specifics
govweb-grca-learn-nature-200710mtlionkit-htm.txt,human,308,2,2,0.074,likely_human,high,0.616,0.336,0.115,0.1,0.103,0.07,0.046,0.654
gutenberg-essays-1.txt,human,338,2,2,0.021,likely_human,high,0.113,1.158,0.195,0.473,0.125,0.075,0.02,0.03
gutenberg-essays-2.txt,human,358,2,2,0.004,likely_human,high,0.086,0.434,0.224,0.171,0.088,0.08,0.02,0.024
gutenberg-essays-first-series-1.txt,human,391,3,3,0.073,likely_human,medium,0.148,1.328,0.452,0.295,0.297,0.098,0.02,0.069
gutenberg-essays-first-series-2.txt,human,305,2,2,0.019,likely_human,medium,0.096,1.044,0.306,0.3,0.192,0.09,0.02,0.037
gutenberg-essays-second-series-1.txt,human,306,1,1,0.05,likely_human,high,0.14,1.35,0.34,0.25,0.32,0.11,0.02,0.03
gutenberg-essays-second-series-2.txt,human,332,2,2,0.009,likely_human,high,0.192,0.537,0.28,0.116,0.3,0.08,0.02,0.183
gutenberg-walking-1.txt,human,185,1,1,0.016,likely_human,high,0.09,1.24,0.58,0.23,0.17,0.08,0.02,0.52
gutenberg-walking-2.txt,human,285,1,1,0.013,likely_human,high,0.09,1.63,0.46,0.34,0.43,0.08,0.02,0.78
stackexchange-academia-2221.txt,human,308,2,2,0.119,likely_human,high,0.448,0.951,0.435,0.14,0.088,0.104,0.034,0.443
stackexchange-academia-77443.txt,human,168,1,1,0.434,unclear,low,0.78,0.43,0.2,0.09,0.06,0.08,0.04,0.03
stackexchange-academia-92903.txt,human,326,2,2,0.001,likely_human,high,0.152,0.811,0.182,0.129,0.109,0.083,0.047,0.881
stackexchange-cooking-22409.txt,human,273,1,1,0.065,likely_human,high,0.4,1.08,0.74,0.11,0.21,0.13,0.12,0.96
stackexchange-cooking-81043.txt,human,248,1,1,0.272,likely_human,medium,0.72,0.41,0.13,0.1,0.07,0.11,0.03,0.03
stackexchange-cooking-84325.txt,human,383,2,2,0.336,unclear,low,0.557,0.867,0.362,0.158,0.08,0.09,0.113,0.065
stackexchange-diy-20876.txt,human,213,1,1,0.242,likely_human,medium,0.71,0.34,0.17,0.67,0.08,0.07,0.05,0.05
