file	matched_human_file	prompt_style	word_count
matched-wikipedia-bologna.txt	wikipedia-bologna.txt	default	272
matched-wikipedia-ganges.txt	wikipedia-ganges.txt	default	300
matched-wikipedia-marie-curie.txt	wikipedia-marie-curie.txt	engaging	298
matched-wikipedia-siemens.txt	wikipedia-siemens.txt	default	297
matched-wikipedia-glastonbury-festival.txt	wikipedia-glastonbury-festival.txt	engaging	279
matched-wikipedia-poutine.txt	wikipedia-poutine.txt	casual-disguised	295
matched-wikipedia-office-for-national-statistics.txt	wikipedia-office-for-national-statistics.txt	default	281
matched-wikipedia-golden-gate-bridge.txt	wikipedia-golden-gate-bridge.txt	default	282
matched-wikipedia-cricket.txt	wikipedia-cricket.txt	default	290
matched-wikipedia-tuberculosis.txt	wikipedia-tuberculosis.txt	default	289
matched-wikipedia-radiohead.txt	wikipedia-radiohead.txt	casual-disguised	295
matched-wikipedia-fall-of-the-berlin-wall.txt	wikipedia-fall-of-the-berlin-wall.txt	engaging	296
matched-wikipedia-kyoto.txt	wikipedia-kyoto.txt	default	271
matched-wikipedia-mount-kilimanjaro.txt	wikipedia-mount-kilimanjaro.txt	engaging	266
matched-wikipedia-nikola-tesla.txt	wikipedia-nikola-tesla.txt	default	295
matched-stackexchange-cooking-84325.txt	stackexchange-cooking-84325.txt	default	301
matched-stackexchange-cooking-81043.txt	stackexchange-cooking-81043.txt	casual-disguised	275
matched-stackexchange-cooking-22409.txt	stackexchange-cooking-22409.txt	default	283
matched-stackexchange-travel-20208.txt	stackexchange-travel-20208.txt	default	281
matched-stackexchange-travel-38180.txt	stackexchange-travel-38180.txt	default	295
matched-stackexchange-travel-149371.txt	stackexchange-travel-149371.txt	engaging	291
matched-stackexchange-english-395385.txt	stackexchange-english-395385.txt	default	264
matched-stackexchange-english-342281.txt	stackexchange-english-342281.txt	default	275
matched-stackexchange-english-329192.txt	stackexchange-english-329192.txt	casual-disguised	289
matched-stackexchange-workplace-124717.txt	stackexchange-workplace-124717.txt	default	260
matched-stackexchange-workplace-145712.txt	stackexchange-workplace-145712.txt	default	268
matched-stackexchange-workplace-93717.txt	stackexchange-workplace-93717.txt	casual-disguised	289
matched-stackexchange-diy-20876.txt	stackexchange-diy-20876.txt	default	261
matched-stackexchange-diy-71591.txt	stackexchange-diy-71591.txt	default	261
matched-stackexchange-diy-21461.txt	stackexchange-diy-21461.txt	engaging	273
matched-stackexchange-academia-92903.txt	stackexchange-academia-92903.txt	default	289
matched-stackexchange-academia-2221.txt	stackexchange-academia-2221.txt	default	272
matched-stackexchange-academia-77443.txt	stackexchange-academia-77443.txt	casual-disguised	199
matched-stackexchange-parenting-19025.txt	stackexchange-parenting-19025.txt	engaging	290
matched-stackexchange-parenting-32424.txt	stackexchange-parenting-32424.txt	default	289
matched-gutenberg-essays-second-series-1.txt	gutenberg-essays-second-series-1.txt	default	278
matched-gutenberg-essays-first-series-1.txt	gutenberg-essays-first-series-1.txt	engaging	295
matched-gutenberg-essays-1.txt	gutenberg-essays-1.txt	default	282
matched-gutenberg-walking-1.txt	gutenberg-walking-1.txt	casual-disguised	265
matched-govweb-grca-learn-nature-200710mtlionkit-htm.txt	govweb-grca-learn-nature-200710mtlionkit-htm.txt	engaging	319
